Variety,Year,Orchard Code,Total_Acres_By_Variety_And_Orchard
Sonora,2024,KF,39947
Sonora,2024,RCH,17986
Sonora,2024,TOP,33940
Winters,2022,KF,14245
Winters,2023,KF,18586
Winters,2024,KF,19840
Wood Colony,2022,JK,6930
Wood Colony,2022,MCA,6369
Wood Colony,2022,TOP,20779
Wood Colony,2023,JK,15965
Wood Colony,2023,MCA,10976
Wood Colony,2023,TOP,23879
Wood Colony,2024,JK,15146
Wood Colony,2024,TOP,29456
