Attribute,Category,Type,Value,Year
505 NORTH,Total Income,Income,284846.7,2022
505 NORTH,Total Income,Income,96795.26,2024
505 SOUTH,4300-01 · Custom Farming Equipment,Income,23416.5,2024
505 SOUTH,4300-01 · Custom Farming Equipment,Income,27855.1,2021
505 SOUTH,4300-01 · Custom Farming Equipment,Income,48411.8,2023
505 SOUTH,4300-01 · Custom Farming Equipment,Income,55095.33,2022
505 SOUTH,4300-02 · Custom Harvesting Equipment,Income,0,2021
505 SOUTH,4300-02 · Custom Harvesting Equipment,Income,53366.26,2022
505 SOUTH,4300-02 · Custom Harvesting Equipment,Income,85464.5,2023
505 SOUTH,4300-02 · Custom Harvesting Equipment,Income,927,2024
505 SOUTH,4412 · Labor Income - Other,Income,0,2021
505 SOUTH,4412 · Labor Income - Other,Income,0,2022
505 SOUTH,4412 · Labor Income - Other,Income,0,2023
505 SOUTH,4412 · Labor Income - Other,Income,0,2024
505 SOUTH,4412-01 · Custom Farming Labor,Income,150548,2021
505 SOUTH,4412-01 · Custom Farming Labor,Income,48037.5,2023
505 SOUTH,4412-01 · Custom Farming Labor,Income,72096.09,2024
505 SOUTH,4412-01 · Custom Farming Labor,Income,72566.25,2022
505 SOUTH,4500-01 · Management Fees Income,Income,14000,2024
505 SOUTH,4500-01 · Management Fees Income,Income,19250,2022
505 SOUTH,4500-01 · Management Fees Income,Income,21000,2021
505 SOUTH,4500-01 · Management Fees Income,Income,21000,2023
505 SOUTH,4500-02 · Clerical Variable Income,Income,15340,2023
505 SOUTH,4500-02 · Clerical Variable Income,Income,8470,2022
505 SOUTH,4500-02 · Clerical Variable Income,Income,8960,2024
505 SOUTH,4500-02 · Clerical Variable Income,Income,9727.2,2021
505 SOUTH,4500-03 · Customers' Crop Share,Income,3850,2022
505 SOUTH,4500-03 · Customers' Crop Share,Income,3920,2024
505 SOUTH,4500-03 · Customers' Crop Share,Income,4200,2021
505 SOUTH,4500-03 · Customers' Crop Share,Income,5740,2023
505 SOUTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,10780,2022
505 SOUTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,11760,2021
505 SOUTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,11760,2023
505 SOUTH,4500-04 · Vehicle Maintenance/Fuel Income,Income,8820,2024
505 SOUTH,5000-01 · Labor Hire Payroll,COGS,26493.03,2023
505 SOUTH,5000-01 · Labor Hire Payroll,COGS,31006.24,2022
505 SOUTH,5000-01 · Labor Hire Payroll,COGS,39752.61,2021
505 SOUTH,5000-01 · Labor Hire Payroll,COGS,43065.35,2024
505 SOUTH,5002-01 · Labor Hire Payroll Taxes,COGS,2101.94,2023
505 SOUTH,5002-01 · Labor Hire Payroll Taxes,COGS,2738.62,2022
505 SOUTH,5002-01 · Labor Hire Payroll Taxes,COGS,3608.02,2021
505 SOUTH,5002-01 · Labor Hire Payroll Taxes,COGS,3975.24,2024
505 SOUTH,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
505 SOUTH,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
505 SOUTH,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
505 SOUTH,5002-04 · Harvesting Payroll Taxes,COGS,44.23,2022
505 SOUTH,Total COGS,COGS,19963.36,2023
505 SOUTH,Total COGS,COGS,31394.17,2022
505 SOUTH,Total COGS,COGS,38932.4,2021
505 SOUTH,Total COGS,COGS,48508.04,2024
505 SOUTH,Total Expense,Expense,0,2021
505 SOUTH,Total Expense,Expense,0,2022
505 SOUTH,Total Expense,Expense,0,2023
505 SOUTH,Total Expense,Expense,0,2024
505 SOUTH,Total Income,Income,132145.35,2024
505 SOUTH,Total Income,Income,225090.3,2021
505 SOUTH,Total Income,Income,235753.8,2023
505 SOUTH,Total Income,Income,236985.84,2022
AAG,4300-01 · Custom Farming Equipment,Income,0,2021
AAG,4300-01 · Custom Farming Equipment,Income,0,2022
AAG,4300-01 · Custom Farming Equipment,Income,0,2023
AAG,4300-01 · Custom Farming Equipment,Income,0,2024
AAG,4300-02 · Custom Harvesting Equipment,Income,0,2021
AAG,4300-02 · Custom Harvesting Equipment,Income,0,2022
AAG,4300-02 · Custom Harvesting Equipment,Income,0,2023
AAG,4300-02 · Custom Harvesting Equipment,Income,0,2024
AAG,4412 · Labor Income - Other,Income,0,2021
AAG,4412 · Labor Income - Other,Income,0,2022
AAG,4412 · Labor Income - Other,Income,0,2023
AAG,4412 · Labor Income - Other,Income,0,2024
AAG,4412-01 · Custom Farming Labor,Income,0,2022
AAG,4412-01 · Custom Farming Labor,Income,0,2023
AAG,4412-01 · Custom Farming Labor,Income,0,2024
AAG,4412-01 · Custom Farming Labor,Income,325.15,2021
AAG,4500-01 · Management Fees Income,Income,0,2021
AAG,4500-01 · Management Fees Income,Income,0,2022
AAG,4500-01 · Management Fees Income,Income,0,2023
AAG,4500-01 · Management Fees Income,Income,0,2024
AAG,4500-02 · Clerical Variable Income,Income,0,2021
AAG,4500-02 · Clerical Variable Income,Income,0,2022
AAG,4500-02 · Clerical Variable Income,Income,0,2023
AAG,4500-02 · Clerical Variable Income,Income,0,2024
AAG,4500-03 · Customers' Crop Share,Income,0,2021
AAG,4500-03 · Customers' Crop Share,Income,0,2022
AAG,4500-03 · Customers' Crop Share,Income,0,2023
AAG,4500-03 · Customers' Crop Share,Income,0,2024
AAG,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
AAG,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
AAG,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
AAG,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
AAG,5000-01 · Labor Hire Payroll,COGS,0,2021
AAG,5000-01 · Labor Hire Payroll,COGS,0,2022
AAG,5000-01 · Labor Hire Payroll,COGS,0,2023
AAG,5000-01 · Labor Hire Payroll,COGS,0,2024
AAG,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
AAG,5002-01 · Labor Hire Payroll Taxes,COGS,0,2022
AAG,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
AAG,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
AAG,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
AAG,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
AAG,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
AAG,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
AAG,Total COGS,COGS,0,2021
AAG,Total COGS,COGS,0,2022
AAG,Total COGS,COGS,0,2023
AAG,Total COGS,COGS,0,2024
AAG,Total Expense,Expense,0,2021
AAG,Total Expense,Expense,0,2022
AAG,Total Expense,Expense,0,2023
AAG,Total Expense,Expense,0,2024
AAG,Total Income,Income,0,2022
AAG,Total Income,Income,0,2023
AAG,Total Income,Income,0,2024
AAG,Total Income,Income,325.15,2021
AGF W,4300-01 · Custom Farming Equipment,Income,0,2021
AGF W,4300-01 · Custom Farming Equipment,Income,0,2022
AGF W,4300-01 · Custom Farming Equipment,Income,0,2023
AGF W,4300-01 · Custom Farming Equipment,Income,0,2024
AGF W,4300-02 · Custom Harvesting Equipment,Income,0,2021
AGF W,4300-02 · Custom Harvesting Equipment,Income,0,2022
AGF W,4300-02 · Custom Harvesting Equipment,Income,0,2023
AGF W,4300-02 · Custom Harvesting Equipment,Income,0,2024
AGF W,4412 · Labor Income - Other,Income,0,2021
AGF W,4412 · Labor Income - Other,Income,0,2022
AGF W,4412 · Labor Income - Other,Income,0,2023
AGF W,4412 · Labor Income - Other,Income,0,2024
AGF W,4412-01 · Custom Farming Labor,Income,0,2021
AGF W,4412-01 · Custom Farming Labor,Income,0,2022
AGF W,4412-01 · Custom Farming Labor,Income,0,2023
AGF W,4412-01 · Custom Farming Labor,Income,0,2024
AGF W,4500-01 · Management Fees Income,Income,0,2021
AGF W,4500-01 · Management Fees Income,Income,0,2022
AGF W,4500-01 · Management Fees Income,Income,0,2023
AGF W,4500-01 · Management Fees Income,Income,0,2024
AGF W,4500-02 · Clerical Variable Income,Income,0,2021
AGF W,4500-02 · Clerical Variable Income,Income,0,2022
AGF W,4500-02 · Clerical Variable Income,Income,0,2023
AGF W,4500-02 · Clerical Variable Income,Income,0,2024
AGF W,4500-03 · Customers' Crop Share,Income,0,2021
AGF W,4500-03 · Customers' Crop Share,Income,0,2022
AGF W,4500-03 · Customers' Crop Share,Income,0,2023
AGF W,4500-03 · Customers' Crop Share,Income,0,2024
AGF W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
AGF W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
AGF W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
AGF W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
AGF W,5000-01 · Labor Hire Payroll,COGS,0,2021
AGF W,5000-01 · Labor Hire Payroll,COGS,0,2022
AGF W,5000-01 · Labor Hire Payroll,COGS,0,2023
AGF W,5000-01 · Labor Hire Payroll,COGS,0,2024
AGF W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
AGF W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2022
AGF W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
AGF W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
AGF W,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
AGF W,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
AGF W,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
AGF W,5002-04 · Harvesting Payroll Taxes,COGS,1005.52,2024
AGF W,Total COGS,COGS,0,2021
AGF W,Total COGS,COGS,0,2022
AGF W,Total COGS,COGS,0,2023
AGF W,Total COGS,COGS,9598.54,2024
AGF W,Total Expense,Expense,0,2021
AGF W,Total Expense,Expense,0,2022
AGF W,Total Expense,Expense,0,2023
AGF W,Total Expense,Expense,0,2024
AGF W,Total Income,Income,0,2021
AGF W,Total Income,Income,0,2022
AGF W,Total Income,Income,0,2023
AGF W,Total Income,Income,0,2024
AP-CAL (I-5),4300-01 · Custom Farming Equipment,Income,0,2021
AP-CAL (I-5),4300-01 · Custom Farming Equipment,Income,0,2022
AP-CAL (I-5),4300-01 · Custom Farming Equipment,Income,0,2023
AP-CAL (I-5),4300-01 · Custom Farming Equipment,Income,0,2024
AP-CAL (I-5),4300-02 · Custom Harvesting Equipment,Income,0,2021
AP-CAL (I-5),4300-02 · Custom Harvesting Equipment,Income,0,2022
AP-CAL (I-5),4300-02 · Custom Harvesting Equipment,Income,0,2023
AP-CAL (I-5),4300-02 · Custom Harvesting Equipment,Income,0,2024
AP-CAL (I-5),4412 · Labor Income - Other,Income,0,2021
AP-CAL (I-5),4412 · Labor Income - Other,Income,0,2022
AP-CAL (I-5),4412 · Labor Income - Other,Income,0,2023
AP-CAL (I-5),4412 · Labor Income - Other,Income,0,2024
AP-CAL (I-5),4412-01 · Custom Farming Labor,Income,0,2021
AP-CAL (I-5),4412-01 · Custom Farming Labor,Income,0,2022
AP-CAL (I-5),4412-01 · Custom Farming Labor,Income,0,2023
AP-CAL (I-5),4412-01 · Custom Farming Labor,Income,0,2024
AP-CAL (I-5),4500-01 · Management Fees Income,Income,0,2021
AP-CAL (I-5),4500-01 · Management Fees Income,Income,0,2022
AP-CAL (I-5),4500-01 · Management Fees Income,Income,0,2023
AP-CAL (I-5),4500-01 · Management Fees Income,Income,0,2024
AP-CAL (I-5),4500-02 · Clerical Variable Income,Income,0,2021
AP-CAL (I-5),4500-02 · Clerical Variable Income,Income,0,2022
AP-CAL (I-5),4500-02 · Clerical Variable Income,Income,0,2023
AP-CAL (I-5),4500-02 · Clerical Variable Income,Income,0,2024
AP-CAL (I-5),4500-03 · Customers' Crop Share,Income,0,2021
AP-CAL (I-5),4500-03 · Customers' Crop Share,Income,0,2022
AP-CAL (I-5),4500-03 · Customers' Crop Share,Income,0,2023
AP-CAL (I-5),4500-03 · Customers' Crop Share,Income,0,2024
AP-CAL (I-5),4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
AP-CAL (I-5),4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
AP-CAL (I-5),4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
AP-CAL (I-5),4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
AP-CAL (I-5),5000-01 · Labor Hire Payroll,COGS,0,2021
AP-CAL (I-5),5000-01 · Labor Hire Payroll,COGS,0,2022
AP-CAL (I-5),5000-01 · Labor Hire Payroll,COGS,0,2023
AP-CAL (I-5),5000-01 · Labor Hire Payroll,COGS,0,2024
AP-CAL (I-5),5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
AP-CAL (I-5),5002-01 · Labor Hire Payroll Taxes,COGS,0,2022
AP-CAL (I-5),5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
AP-CAL (I-5),5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
AP-CAL (I-5),5002-04 · Harvesting Payroll Taxes,COGS,0,2021
AP-CAL (I-5),5002-04 · Harvesting Payroll Taxes,COGS,0,2022
AP-CAL (I-5),5002-04 · Harvesting Payroll Taxes,COGS,0,2023
AP-CAL (I-5),5002-04 · Harvesting Payroll Taxes,COGS,117.61,2024
AP-CAL (I-5),Total COGS,COGS,0,2021
AP-CAL (I-5),Total COGS,COGS,0,2022
AP-CAL (I-5),Total COGS,COGS,0,2023
AP-CAL (I-5),Total COGS,COGS,1287.74,2024
AP-CAL (I-5),Total Expense,Expense,0,2021
AP-CAL (I-5),Total Expense,Expense,0,2022
AP-CAL (I-5),Total Expense,Expense,0,2023
AP-CAL (I-5),Total Expense,Expense,0,2024
AP-CAL (I-5),Total Income,Income,0,2021
AP-CAL (I-5),Total Income,Income,0,2022
AP-CAL (I-5),Total Income,Income,0,2023
AP-CAL (I-5),Total Income,Income,0,2024
BALBOA,4300-01 · Custom Farming Equipment,Income,13249.2,2021
BALBOA,4300-01 · Custom Farming Equipment,Income,17554,2024
BALBOA,4300-01 · Custom Farming Equipment,Income,20153.91,2022
BALBOA,4300-01 · Custom Farming Equipment,Income,23773.68,2023
BALBOA,4300-02 · Custom Harvesting Equipment,Income,0,2021
BALBOA,4300-02 · Custom Harvesting Equipment,Income,0,2022
BALBOA,4300-02 · Custom Harvesting Equipment,Income,19258,2023
BALBOA,4300-02 · Custom Harvesting Equipment,Income,7380,2024
BALBOA,4412 · Labor Income - Other,Income,0,2021
BALBOA,4412 · Labor Income - Other,Income,0,2022
BALBOA,4412 · Labor Income - Other,Income,0,2023
BALBOA,4412 · Labor Income - Other,Income,0,2024
BALBOA,4412-01 · Custom Farming Labor,Income,10872.2,2024
BALBOA,4412-01 · Custom Farming Labor,Income,16645,2023
BALBOA,4412-01 · Custom Farming Labor,Income,45222,2022
BALBOA,4412-01 · Custom Farming Labor,Income,57558,2021
BALBOA,4500-01 · Management Fees Income,Income,10175,2022
BALBOA,4500-01 · Management Fees Income,Income,11100,2021
BALBOA,4500-01 · Management Fees Income,Income,11100,2023
BALBOA,4500-01 · Management Fees Income,Income,7400,2024
BALBOA,4500-02 · Clerical Variable Income,Income,4477,2022
BALBOA,4500-02 · Clerical Variable Income,Income,4662,2021
BALBOA,4500-02 · Clerical Variable Income,Income,4736,2024
BALBOA,4500-02 · Clerical Variable Income,Income,6919,2023
BALBOA,4500-03 · Customers' Crop Share,Income,1998,2024
BALBOA,4500-03 · Customers' Crop Share,Income,2035,2022
BALBOA,4500-03 · Customers' Crop Share,Income,2220,2021
BALBOA,4500-03 · Customers' Crop Share,Income,2220,2023
BALBOA,4500-04 · Vehicle Maintenance/Fuel Income,Income,4662,2024
BALBOA,4500-04 · Vehicle Maintenance/Fuel Income,Income,5698,2022
BALBOA,4500-04 · Vehicle Maintenance/Fuel Income,Income,6216,2021
BALBOA,4500-04 · Vehicle Maintenance/Fuel Income,Income,6216,2023
BALBOA,5000-01 · Labor Hire Payroll,COGS,18299.47,2021
BALBOA,5000-01 · Labor Hire Payroll,COGS,21509.88,2022
BALBOA,5000-01 · Labor Hire Payroll,COGS,6578.36,2024
BALBOA,5000-01 · Labor Hire Payroll,COGS,7479.99,2023
BALBOA,5002-01 · Labor Hire Payroll Taxes,COGS,1628.65,2021
BALBOA,5002-01 · Labor Hire Payroll Taxes,COGS,1875.05,2022
BALBOA,5002-01 · Labor Hire Payroll Taxes,COGS,568.16,2024
BALBOA,5002-01 · Labor Hire Payroll Taxes,COGS,605.28,2023
BALBOA,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
BALBOA,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
BALBOA,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
BALBOA,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
BALBOA,Total COGS,COGS,19076.28,2021
BALBOA,Total COGS,COGS,22765.49,2022
BALBOA,Total COGS,COGS,2473.6,2023
BALBOA,Total COGS,COGS,8080.73,2024
BALBOA,Total Expense,Expense,0,2021
BALBOA,Total Expense,Expense,0,2022
BALBOA,Total Expense,Expense,0,2023
BALBOA,Total Expense,Expense,0,2024
BALBOA,Total Income,Income,54613.72,2024
BALBOA,Total Income,Income,86131.68,2023
BALBOA,Total Income,Income,87760.91,2022
BALBOA,Total Income,Income,95005.2,2021
BC-W,4300-01 · Custom Farming Equipment,Income,0,2021
BC-W,4300-01 · Custom Farming Equipment,Income,0,2023
BC-W,4300-01 · Custom Farming Equipment,Income,0,2024
BC-W,4300-01 · Custom Farming Equipment,Income,690,2022
BC-W,4300-02 · Custom Harvesting Equipment,Income,0,2024
BC-W,4300-02 · Custom Harvesting Equipment,Income,12390.12,2021
BC-W,4300-02 · Custom Harvesting Equipment,Income,13942.3,2022
BC-W,4300-02 · Custom Harvesting Equipment,Income,15212,2023
BC-W,4412 · Labor Income - Other,Income,0,2021
BC-W,4412 · Labor Income - Other,Income,0,2022
BC-W,4412 · Labor Income - Other,Income,0,2023
BC-W,4412 · Labor Income - Other,Income,0,2024
BC-W,4412-01 · Custom Farming Labor,Income,0,2024
BC-W,4412-01 · Custom Farming Labor,Income,180,2022
BC-W,4412-01 · Custom Farming Labor,Income,374,2021
BC-W,4412-01 · Custom Farming Labor,Income,536,2023
BC-W,4500-01 · Management Fees Income,Income,0,2021
BC-W,4500-01 · Management Fees Income,Income,0,2022
BC-W,4500-01 · Management Fees Income,Income,0,2023
BC-W,4500-01 · Management Fees Income,Income,0,2024
BC-W,4500-02 · Clerical Variable Income,Income,2088,2024
BC-W,4500-02 · Clerical Variable Income,Income,2631.75,2022
BC-W,4500-02 · Clerical Variable Income,Income,2968.94,2021
BC-W,4500-02 · Clerical Variable Income,Income,3110.25,2023
BC-W,4500-03 · Customers' Crop Share,Income,0,2021
BC-W,4500-03 · Customers' Crop Share,Income,0,2022
BC-W,4500-03 · Customers' Crop Share,Income,0,2023
BC-W,4500-03 · Customers' Crop Share,Income,0,2024
BC-W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
BC-W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
BC-W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
BC-W,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
BC-W,5000-01 · Labor Hire Payroll,COGS,0,2023
BC-W,5000-01 · Labor Hire Payroll,COGS,0,2024
BC-W,5000-01 · Labor Hire Payroll,COGS,221,2022
BC-W,5000-01 · Labor Hire Payroll,COGS,315.75,2021
BC-W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
BC-W,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
BC-W,5002-01 · Labor Hire Payroll Taxes,COGS,21.37,2022
BC-W,5002-01 · Labor Hire Payroll Taxes,COGS,24.17,2021
BC-W,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
BC-W,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
BC-W,5002-04 · Harvesting Payroll Taxes,COGS,40.7,2022
BC-W,5002-04 · Harvesting Payroll Taxes,COGS,91.2,2021
BC-W,Total COGS,COGS,0,2023
BC-W,Total COGS,COGS,0,2024
BC-W,Total COGS,COGS,1622.5,2021
BC-W,Total COGS,COGS,2987.41,2022
BC-W,Total Expense,Expense,0,2021
BC-W,Total Expense,Expense,0,2022
BC-W,Total Expense,Expense,0,2023
BC-W,Total Expense,Expense,0,2024
BC-W,Total Income,Income,18943.06,2021
BC-W,Total Income,Income,2088,2024
BC-W,Total Income,Income,23550.45,2022
BC-W,Total Income,Income,23988.25,2023
BI-1,4300-01 · Custom Farming Equipment,Income,21770.5,2024
BI-1,4300-01 · Custom Farming Equipment,Income,29297.15,2022
BI-1,4300-01 · Custom Farming Equipment,Income,34623.05,2021
BI-1,4300-01 · Custom Farming Equipment,Income,40966.5,2023
BI-1,4300-02 · Custom Harvesting Equipment,Income,0,2024
BI-1,4300-02 · Custom Harvesting Equipment,Income,58094.72,2021
BI-1,4300-02 · Custom Harvesting Equipment,Income,59616.46,2022
BI-1,4300-02 · Custom Harvesting Equipment,Income,70817,2023
BI-1,4412 · Labor Income - Other,Income,0,2021
